guess,run,config,good,bad,%,recall,mca,ms
1st,13-67,Financial (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,110.0
1st,13-67,Social (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,110.0
1st,13-67,Tourism (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid),0.5,1.0,25.0,30.0,25.0,16.0
1st,13-67,Weather (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid),4.0,1.0,80.0,100.0,80.0,263.0
1st,74-56,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid,8.0,9.5,45.75,100.0,35.0,537.0
1st,74-56,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid),0.0,1.0,0.0,20.0,0.0,4.0
1st,74-56,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid),2.0,3.0,40.0,100.0,40.0,113.0
1st,74-56,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid),2.5,2.5,50.0,100.0,50.0,112.0
1st,74-56,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid),0.5,1.0,25.0,30.0,25.0,31.0
1st,74-56,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -mink -flucid),3.0,2.0,60.0,100.0,60.0,277.0
1st,73-40,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid,8.0,9.5,45.75,100.0,35.0,553.0
1st,73-40,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),0.0,1.0,0.0,20.0,0.0,4.0
1st,73-40,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,141.0
1st,73-40,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,121.0
1st,73-40,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cos -flucid),0.5,1.0,25.0,30.0,25.0,14.0
